Gender,Teacher,Period,Student ID,Gender,Ethnicity,Economic,LEP,SCICOUR,CTE,TOT,BIO,ELA,Alg,GPA,TOSLS1,TOSLS2,TOSLS3,TOSLS4,TOSLS5,TOSLS6,TOSLS7,TOSLS8,TOSLS9,TOSLSTOT,BRAINS1,BRAINS2,BRAINS3,BRAINS4,BRAINS5,BRAINSTOT,SORT
F,Brennan,7,39604,0,3,1,1,3,0.5,3.5,72,93,44,3.364,2,0,2,1,1,2,1,0,2,11,5,2,24,2,2,35,0
F,Nyholm,7,39673,0,3,0,1,2,0,2,74,74,72,3.071,1,1,2,1,0,1,3,0,1,10,6,3,21,3,0,33,0
M,Lewis,3,42073,1,3,0,1,1.5,1,2.5,94,90,91,3.786,2,2,1,1,0,1,1,1,1,10,13,11,25,12,1,62,0
,Lewis,4,42491,1,3,0,1,1.5,2,3.5,74,82,83,3.469,2,4,1,2,1,3,3,1,2,19,23,18,28,21,8,98,0
F,Stapp,8,44015,0,3,1,1,1.5,0,1.5,90,90,93,3.231,2,3,3,2,0,1,0,1,1,13,19,10,29,18,5,81,0
F,Lewis,5,46089,0,3,0,1,3,2.5,5.5,91,85,94,3.628,2,1,3,2,1,2,2,1,0,14,19,22,27,17,7,92,0
F,Robissa,4,49317,0,3,0,1,1.5,0,1.5,94,96,96,3.967,3,3,3,2,0,2,2,1,2,18,24,22,30,16,8,100,0
F,Brennan,4,49318,0,3,0,1,2.5,0.5,3,81,82,78,3.81,3,2,3,3,0,2,2,1,2,18,21,22,27,20,9,99,0
M,Lewis,5,55097,1,3,0,1,3,0,3,65,79,89,3.047,2,0,2,1,0,3,1,1,0,10,19,18,29,21,4,91,0
F,Frederiksen,6,56703,0,3,0,1,4.5,0,4.5,94,81,96,3.902,2,2,3,2,1,4,3,1,2,20,18,9,23,18,3,71,0
M,Lehmann,2,57499,1,3,1,1,2,0,2,70,84,80,2.692,1,3,1,1,0,1,0,2,1,10,12,3,23,12,3,53,0
F,Brennan,2,65507,0,3,1,1,3.5,0.5,4,52,71,52,3.231,2,1,1,0,0,2,2,1,0,9,24,16,28,17,8,93,0
M,Howell,4,36145,1,5,1,1,3.5,0,3.5,67,66,59,2.688,1,3,1,4,1,3,1,0,1,15,12,10,27,13,6,68,0
